date,text,link
2017-12-23 22:16,Architectural Partnership,https://newyork.craigslist.org/mnh/egr/d/architectural-partnership/6436449519.html
2017-12-23 12:51,Mechanical Engineer Wanted,https://newyork.craigslist.org/que/egr/d/mechanical-engineer-wanted/6435985453.html
2017-12-22 16:32,Junior Project Manager,https://newyork.craigslist.org/mnh/egr/d/junior-project-manager/6435233612.html
2017-12-22 13:54,Controls/ Instrumentation Engineer,https://newyork.craigslist.org/mnh/egr/d/controls-instrumentation/6435042866.html
2017-12-22 12:41,Estimator - Engineering Firm,https://newyork.craigslist.org/mnh/egr/d/estimator-engineering-firm/6434945619.html
2017-12-22 11:27,Construction Estimator-Jr. Architect | NYC High Rise Buildings,https://newyork.craigslist.org/mnh/egr/d/construction-estimator-jr/6434840431.html
2017-12-22 11:04,Estimator,https://newyork.craigslist.org/fct/egr/d/estimator/6434810496.html
2017-12-22 10:35,Draftsmen,https://newyork.craigslist.org/lgi/egr/d/draftsmen/6434775109.html
2017-12-21 19:03,Autocad Drafter,https://newyork.craigslist.org/brk/egr/d/autocad-drafter/6434256031.html
2017-12-21 18:51,Architect,https://newyork.craigslist.org/brk/egr/d/architect/6434244394.html
2017-12-21 16:04,Plumbing/Fire Protection Engineer,https://newyork.craigslist.org/mnh/egr/d/plumbing-fire-protection/6434058237.html
2017-12-21 14:34,Plumbing and Fire Protection Engineer/Designer,https://newyork.craigslist.org/fct/egr/d/plumbing-and-fire-protection/6433939825.html
2017-12-21 14:28,Engineer/Designer Electrical,https://newyork.craigslist.org/fct/egr/d/engineer-designer-electrical/6433931984.html
2017-12-21 14:26,Mechanical/HVAC Engineer/Designer,https://newyork.craigslist.org/fct/egr/d/mechanical-hvac-engineer/6433929601.html
2017-12-21 10:15,JUNIOR ARCHITECT,https://newyork.craigslist.org/que/egr/d/junior-architect/6433580877.html
2017-12-21 10:09,HVAC Project Manager Designer Estimator,https://newyork.craigslist.org/brk/egr/d/hvac-project-manager-designer/6433573486.html
2017-12-21 09:28,New York City Building Permit Expeditor,https://newyork.craigslist.org/brk/egr/d/new-york-city-building-permit/6433527888.html
2017-12-21 09:24,Electrical Estimator,https://newyork.craigslist.org/jsy/egr/d/electrical-estimator/6433523891.html
2017-12-20 16:36,Auto Cad Draftsperson,https://newyork.craigslist.org/que/egr/d/auto-cad-draftsperson/6432895185.html
2017-12-20 12:45,Intermediate and Junior Architect,https://newyork.craigslist.org/que/egr/d/intermediate-and-junior/6432574712.html
2017-12-20 10:02,Office Manager/Design Assistant,https://newyork.craigslist.org/brk/egr/d/office-manager-design/6432340676.html
2017-12-20 09:59,structural and mechanical engineers,https://newyork.craigslist.org/que/egr/d/structural-and-mechanical/6432336692.html
2017-12-19 14:48,VP Design - Fluent Mandarin | Real Estate Developer,https://newyork.craigslist.org/mnh/egr/d/vp-design-fluent-mandarin/6431496910.html
2017-12-19 13:51,Marketing Director-Mandarin Speaking | Real Estate Developer,https://newyork.craigslist.org/mnh/egr/d/marketing-director-mandarin/6431411242.html
2017-12-19 10:48,CONSTRUCTION SITE SUPERVISOR,https://newyork.craigslist.org/que/egr/d/construction-site-supervisor/6431134021.html
2017-12-18 23:37,Experienced Kitchen & Bath Designer Wanted,https://newyork.craigslist.org/mnh/egr/d/experienced-kitchen-bath/6430773156.html
2017-12-18 22:15,Architect Assistants and Cad Draftpersons,https://newyork.craigslist.org/mnh/egr/d/architect-assistants-and-cad/6430716502.html
2017-12-18 21:36,Intermediate Architect,https://newyork.craigslist.org/stn/egr/d/intermediate-architect/6430685588.html
2017-12-18 17:13,Senior Architectural Designer,https://newyork.craigslist.org/mnh/egr/d/senior-architectural-designer/6430410687.html
2017-12-18 16:41,Lighting Designer,https://newyork.craigslist.org/mnh/egr/d/lighting-designer/6430367680.html
2017-12-18 14:21,AutoCad Drafter / Plumbing Shop Drawing Design,https://newyork.craigslist.org/que/egr/d/autocad-drafter-plumbing-shop/6430163785.html
2017-12-18 13:28,Interns Needed!,https://newyork.craigslist.org/mnh/egr/d/interns-needed/6430080516.html
2017-12-18 13:24,Procurement Project Manager with Design/Architecture background neede,https://newyork.craigslist.org/mnh/egr/d/procurement-project-manager/6430074985.html
2017-12-18 13:22,Sales Manager Needed,https://newyork.craigslist.org/mnh/egr/d/sales-manager-needed/6430070785.html
2017-12-18 12:52,Interior Design Production Coordinator (NJYINT760),https://newyork.craigslist.org/jsy/egr/d/interior-design-production/6430022574.html
2017-12-18 12:45,"Interior Design Job Captain, Retail (NJYINT760)",https://newyork.craigslist.org/jsy/egr/d/interior-design-job-captain/6430011716.html
2017-12-18 12:26,"Interior Design Project Manager, Retail (NJYINT760)",https://newyork.craigslist.org/jsy/egr/d/interior-design-project/6429981570.html
2017-12-18 12:06,Interior Design Job Captain (NJYINT760),https://newyork.craigslist.org/jsy/egr/d/interior-design-job-captain/6429949101.html
2017-12-18 11:44,Interior Design Project Manager (NJYINT760),https://newyork.craigslist.org/jsy/egr/d/interior-design-project/6429914013.html
2017-12-18 11:21,Interior Design Production Coordinator (NYCINT1860),https://newyork.craigslist.org/mnh/egr/d/interior-design-production/6429877759.html
2017-12-18 11:12,Interior Design Job Captain - Retail (NYCINT1860),https://newyork.craigslist.org/mnh/egr/d/interior-design-job-captain/6429863155.html
2017-12-15 23:39,Look for structural engineer,https://newyork.craigslist.org/que/egr/d/look-for-structural-engineer/6427238205.html
2017-12-15 19:23,"Interior Design Project Manager, Retail (NYCINT1860)",https://newyork.craigslist.org/mnh/egr/d/interior-design-project/6427041557.html
2017-12-15 19:04,Interior Design Job Captain (NYCINT1860),https://newyork.craigslist.org/mnh/egr/d/interior-design-job-captain/6427022173.html
2017-12-15 18:33,Interior Design Project Manager (NYCINT1860),https://newyork.craigslist.org/mnh/egr/d/interior-design-project/6426990112.html
2017-12-15 17:05,Controls/ Instrumentation Engineer,https://newyork.craigslist.org/mnh/egr/d/controls-instrumentation/6426884689.html
2017-12-15 16:06,Restaurant Construction Project Manager,https://newyork.craigslist.org/mnh/egr/d/restaurant-construction/6426807053.html
2017-12-15 15:34,Construction Site Supervisor,https://newyork.craigslist.org/mnh/egr/d/construction-site-supervisor/6426763527.html
2017-12-15 13:38,PROJECT ARCHITECT WANTED - PREMIER DESIGN/BUILD,https://newyork.craigslist.org/mnh/egr/d/project-architect-wanted/6426591252.html
2017-12-15 12:21,Architectural Designer | Revit,https://newyork.craigslist.org/mnh/egr/d/architectural-designer-revit/6426472078.html
2017-12-15 12:14,Architect - Project Manager | Corporate Interiors | Workplace,https://newyork.craigslist.org/mnh/egr/d/architect-project-manager/6426461375.html
2017-12-15 12:06,Furniture Spec Designer- Client side Opportunity,https://newyork.craigslist.org/mnh/egr/d/furniture-spec-designer/6426447563.html
2017-12-15 12:05,Intermediate Architect,https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6426447011.html
2017-12-14 17:01,Project Manager / Architect,https://newyork.craigslist.org/mnh/egr/d/project-manager-architect/6425617185.html
2017-12-14 15:43,Senior Lighting Designer,https://newyork.craigslist.org/mnh/egr/d/senior-lighting-designer/6425512310.html
2017-12-14 14:59,Estimator - Construction,https://newyork.craigslist.org/que/egr/d/estimator-construction/6425448931.html
2017-12-14 13:11,Field Estimator/ Assistant Project Estimator : Flooring,https://newyork.craigslist.org/lgi/egr/d/field-estimator-assistant/6425288764.html
2017-12-14 13:01,Intermediate architect,https://newyork.craigslist.org/lgi/egr/d/intermediate-architect/6425273434.html
2017-12-14 10:55,DOB Expediting Project Manager,https://newyork.craigslist.org/brk/egr/d/dob-expediting-project-manager/6425079659.html
2017-12-13 23:43,Mechanical Engineer is needed,https://newyork.craigslist.org/mnh/egr/d/mechanical-engineer-is-needed/6424720897.html
2017-12-13 22:44,Heavy Construction Project Engineer,https://newyork.craigslist.org/wch/egr/d/heavy-construction-project/6424683227.html
2017-12-13 18:13,Project Architect Position - High-End Residential,https://newyork.craigslist.org/mnh/egr/d/project-architect-position/6424435272.html
2017-12-13 18:08,Entry Level Architecture & Interior Design Position,https://newyork.craigslist.org/mnh/egr/d/entry-level-architecture/6424430455.html
2017-12-13 17:36,Electrical Engineers and Designer Engineers,https://newyork.craigslist.org/mnh/egr/d/electrical-engineers-and/6424391851.html
2017-12-13 17:24,Senior Electrical Engineer - Industrial and Educational Projects,https://newyork.craigslist.org/mnh/egr/d/senior-electrical-engineer/6424375127.html
2017-12-13 14:51,Junior Estimator,https://newyork.craigslist.org/lgi/egr/d/junior-estimator/6424160140.html
2017-12-13 12:17,Experienced Mechanical Engineer - PE preferred,https://newyork.craigslist.org/mnh/egr/d/experienced-mechanical/6423918337.html
2017-12-13 11:57,Field/Project Manager,https://newyork.craigslist.org/mnh/egr/d/field-project-manager/6423886404.html
2017-12-13 09:11,Architectural Draftsperson to Project Manager,https://newyork.craigslist.org/lgi/egr/d/architectural-draftsperson-to/6423656367.html
2017-12-13 09:00,Intermediate Architect,https://newyork.craigslist.org/brk/egr/d/intermediate-architect/6423645059.html
2017-12-12 21:49,Project Manager,https://newyork.craigslist.org/brk/egr/d/project-manager/6423342654.html
2017-12-12 17:57,Hotel Engineer,https://newyork.craigslist.org/mnh/egr/d/hotel-engineer/6423112385.html
2017-12-12 13:44,Architect or Engineer | Transportation | MicroStation,https://newyork.craigslist.org/mnh/egr/d/architect-or-engineer/6422746901.html
2017-12-12 13:36,Concrete Super or Foreman,https://newyork.craigslist.org/mnh/egr/d/concrete-super-or-foreman/6422733983.html
2017-12-12 13:15,Architect / Drafter,https://newyork.craigslist.org/brk/egr/d/architect-drafter/6422698416.html
2017-12-12 12:50,Fire Alarm per-tester in New York City,https://newyork.craigslist.org/mnh/egr/d/fire-alarm-per-tester-in-new/6422658863.html
2017-12-12 10:33,JR Estimator/Quantity Surveyor,https://newyork.craigslist.org/mnh/egr/d/jr-estimator-quantity-surveyor/6422437883.html
2017-12-12 10:28,Mid Level Electrical (Power) Engineer Position,https://newyork.craigslist.org/mnh/egr/d/mid-level-electrical-power/6422430830.html
2017-12-12 09:33,NYC  Department of Buildings  registered class 1 and class 2 filing,https://newyork.craigslist.org/que/egr/d/nyc-department-of-buildings/6422360136.html
2017-12-12 08:36,"Need Estimator,Project Mgr, Asst.Project Mngr for Construction Company",https://newyork.craigslist.org/brk/egr/d/need-estimatorproject-mgr/6422301354.html
2017-12-12 01:00,project manager for small *commercial* real estate construction job,https://newyork.craigslist.org/brk/egr/d/project-manager-for-small/6422135520.html
2017-12-11 23:06,Look for a part-time NYS PE-Mechanical,https://newyork.craigslist.org/que/egr/d/look-for-part-time-nys-pe/6422069547.html
2017-12-11 20:05,Lighting Auditor/Surveyor,https://newyork.craigslist.org/mnh/egr/d/lighting-auditor-surveyor/6421908955.html
2017-12-11 17:12,Controls/ Instrumentation Engineer,https://newyork.craigslist.org/mnh/egr/d/controls-instrumentation/6421703218.html
2017-12-11 16:50,Intermediate Architect - High End Residential,https://newyork.craigslist.org/mnh/egr/d/intermediate-architect-high/6421673216.html
2017-12-11 16:38,Sales Manager Needed,https://newyork.craigslist.org/mnh/egr/d/sales-manager-needed/6421655206.html
2017-12-11 14:24,Building Enclosure Curtain Wall Consultant \ Project Manager,https://newyork.craigslist.org/mnh/egr/d/building-enclosure-curtain/6421445227.html
2017-12-11 13:09,Procurement Project Manager with Design/Architecture background needed,https://newyork.craigslist.org/mnh/egr/d/procurement-project-manager/6421318013.html
2017-12-11 12:24,Entry Level Architect small busy office.,https://newyork.craigslist.org/mnh/egr/d/entry-level-architect-small/6421240256.html
2017-12-11 11:34,Licensed Structural PE,https://newyork.craigslist.org/jsy/egr/d/licensed-structural-pe/6421154013.html
2017-12-09 16:23,Junior Architect,https://newyork.craigslist.org/mnh/egr/d/junior-architect/6419187821.html
2017-12-08 17:37,Facade / Building Envelope Project Architect or Engineer,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6418012411.html
2017-12-08 15:38,Top Architectural Metal  + Glass Company looking for Project Manager,https://newyork.craigslist.org/que/egr/d/top-architectural-metal-glass/6417847283.html
2017-12-08 14:56,Project Architect Position Available (Queens),https://newyork.craigslist.org/que/egr/d/project-architect-position/6417783981.html
2017-12-08 14:21,Mechanical Engineer,https://newyork.craigslist.org/mnh/egr/d/mechanical-engineer/6417728769.html
2017-12-08 14:20,Plumbing/ Fire Protection Engineer,https://newyork.craigslist.org/mnh/egr/d/plumbing-fire-protection/6417727408.html
2017-12-08 14:08,Architect needed Midtown NYC,https://newyork.craigslist.org/mnh/egr/d/architect-needed-midtown-nyc/6417709243.html
2017-12-08 11:47,Intermediate Architect,https://newyork.craigslist.org/brk/egr/d/intermediate-architect/6417479833.html
2017-12-08 11:04,Design Asistant,https://newyork.craigslist.org/jsy/egr/d/design-asistant/6417412494.html
2017-12-08 10:39,NYS Professional Engineer (NYS PE),https://newyork.craigslist.org/que/egr/d/nys-professional-engineer-nys/6417376108.html
2017-12-07 16:00,Architect,https://newyork.craigslist.org/mnh/egr/d/architect/6416555869.html
2017-12-07 15:20,CAD CAM Operator,https://newyork.craigslist.org/wch/egr/d/cad-cam-operator/6416496892.html
2017-12-07 14:14,Project Architect,https://newyork.craigslist.org/que/egr/d/project-architect/6416395740.html
2017-12-07 13:36,◄◄  FREE-LANCE SKETCHUP PROFESSIONAL AVAILABLE FOR YOUR PROJECT,https://newyork.craigslist.org/que/egr/d/free-lance-sketchup/6416334132.html
2017-12-07 12:37,Fire Sprinkler Engineer,https://newyork.craigslist.org/mnh/egr/d/fire-sprinkler-engineer/6416237999.html
2017-12-07 12:33,Engineering Graduates Interested in Fire Protection Engineering!,https://newyork.craigslist.org/mnh/egr/d/engineering-graduates/6416231958.html
2017-12-07 08:51,Assistant Director of Engineering,https://newyork.craigslist.org/mnh/egr/d/assistant-director-of/6415922280.html
2017-12-06 17:51,Senior Project Architect,https://newyork.craigslist.org/brk/egr/d/senior-project-architect/6415370860.html
2017-12-06 17:34,Architect,https://newyork.craigslist.org/mnh/egr/d/architect/6415349234.html
2017-12-06 17:33,Architect Project Manager,https://newyork.craigslist.org/mnh/egr/d/architect-project-manager/6415348600.html
2017-12-06 15:05,Architectural / Interior Design Internship,https://newyork.craigslist.org/mnh/egr/d/architectural-interior-design/6415135667.html
2017-12-06 14:33,Intermediate Architect,https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6415086146.html
2017-12-06 13:24,SAVANT METALS - PROJECT/OPERATIONS MANAGER,https://newyork.craigslist.org/brx/egr/d/savant-metals-project/6414976191.html
2017-12-06 11:58,Junior Interior Designer FREELANCE (ACAD),https://newyork.craigslist.org/mnh/egr/d/junior-interior-designer/6414834240.html
2017-12-06 10:40,Field/Project Manager,https://newyork.craigslist.org/mnh/egr/d/field-project-manager/6414708148.html
2017-12-06 09:20,DRAFTER,https://newyork.craigslist.org/que/egr/d/drafter/6414599968.html
2017-12-05 19:03,CAD Drafter/Junior Architect,https://newyork.craigslist.org/brk/egr/d/cad-drafter-junior-architect/6414091187.html
2017-12-05 18:24,Architectural CAD Drafters,https://newyork.craigslist.org/mnh/egr/d/architectural-cad-drafters/6414046108.html
2017-12-05 17:52,Project Manager-IT System,https://newyork.craigslist.org/mnh/egr/d/project-manager-it-system/6414005907.html
2017-12-05 16:15,Architectural Position (Upper East Side),https://newyork.craigslist.org/mnh/egr/d/architectural-position-upper/6413872855.html
2017-12-05 10:33,RUSSIAN-SPEAKING ENGINEER,https://newyork.craigslist.org/mnh/egr/d/russian-speaking-engineer/6413325908.html
2017-12-05 10:05,Booker Keeper for Architectural Firm,https://newyork.craigslist.org/mnh/egr/d/booker-keeper-for/6413285488.html
2017-12-05 09:03,CAD Drafter,https://newyork.craigslist.org/mnh/egr/d/cad-drafter/6413208265.html
2017-12-05 08:55,Intermediate Architect / Interior Designer,https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6413199853.html
2017-12-04 18:23,Wireless/RF Telecom Technician (Bucket Truck Operator) in Queens,https://newyork.craigslist.org/que/egr/d/wireless-rf-telecom/6412653886.html
2017-12-04 16:33,CONSTRUCTION MANAGER (CM) PUERTO RICO,https://newyork.craigslist.org/brx/egr/d/construction-manager-cm/6412501887.html
2017-12-04 14:14,Interns Needed!,https://newyork.craigslist.org/mnh/egr/d/interns-needed/6412281535.html
2017-12-04 13:56,Data Center Facilities Engineer II,https://newyork.craigslist.org/mnh/egr/d/data-center-facilities/6412250591.html
2017-12-04 13:45,NYC DOB Expediter Filing Representative,https://newyork.craigslist.org/mnh/egr/d/nyc-dob-expediter-filing/6412232699.html
2017-12-04 13:39,Power and Capacity Design Engineer,https://newyork.craigslist.org/mnh/egr/d/power-and-capacity-design/6412221472.html
2017-12-04 13:35,"Soil Inspectors, ACI I and ACI II Concrete Inspectors",https://newyork.craigslist.org/que/egr/d/soil-inspectors-aci-and-aci/6412214811.html
2017-12-04 13:05,CAD Drafter,https://newyork.craigslist.org/jsy/egr/d/cad-drafter/6412162271.html
2017-12-04 12:45,ARCHITECT INTERN,https://newyork.craigslist.org/que/egr/d/architect-intern/6412128319.html
2017-12-04 12:36,BIM ENGINEER,https://newyork.craigslist.org/mnh/egr/d/bim-engineer/6412113177.html
2017-12-04 10:53,Procurement Project Manager with Design/Architecture background needed,https://newyork.craigslist.org/mnh/egr/d/procurement-project-manager/6411936847.html
2017-12-04 09:35,Draftsman / Shop Drawings,https://newyork.craigslist.org/lgi/egr/d/draftsman-shop-drawings/6411825793.html
2017-12-04 06:41,Floral Designer/Florist,https://newyork.craigslist.org/brk/egr/d/floral-designer-florist/6411688424.html
2017-12-03 21:50,"Project Engineer/Project Architect-Industrial, Environmental",https://newyork.craigslist.org/lgi/egr/d/project-engineer-project/6411460196.html
2017-12-02 11:04,Small Construction Contracting Company seeks DOB Filing Rep,https://newyork.craigslist.org/que/egr/d/small-construction/6409491700.html
2017-12-01 18:03,Project Manager  - Plumbing New York City,https://newyork.craigslist.org/que/egr/d/project-manager-plumbing-new/6408782246.html
2017-12-01 17:18,MEP Engineer,https://newyork.craigslist.org/wch/egr/d/mep-engineer/6408723042.html
2017-12-01 17:17,Tenant Build-out Oversight Engineer,https://newyork.craigslist.org/wch/egr/d/tenant-build-out-oversight/6408722362.html
2017-12-01 16:18,Intermediate Architect,https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6408639744.html
2017-12-01 14:53,Fire Alarm Project Manager,https://newyork.craigslist.org/mnh/egr/d/fire-alarm-project-manager/6408512837.html
2017-12-01 14:50,Engineering Administrator,https://newyork.craigslist.org/wch/egr/d/engineering-administrator/6408508017.html
2017-12-01 14:44,Job Captain,https://newyork.craigslist.org/mnh/egr/d/job-captain/6408498488.html
2017-12-01 12:43,Energy Modeler,https://newyork.craigslist.org/mnh/egr/d/energy-modeler/6408303821.html
2017-12-01 12:40,ARCHITECTURAL TEAM ASSOCIATE,https://newyork.craigslist.org/mnh/egr/d/architectural-team-associate/6408299883.html
2017-12-01 12:23,Structural Engineer / Field Inspector,https://newyork.craigslist.org/mnh/egr/d/structural-engineer-field/6408270001.html
2017-12-01 12:19,Plumbing/Fire Protection Engineer,https://newyork.craigslist.org/mnh/egr/d/plumbing-fire-protection/6408264282.html
2017-12-01 11:22,Plumbing / Fire Protection Designer,https://newyork.craigslist.org/jsy/egr/d/plumbing-fire-protection/6408174171.html
2017-12-01 11:17,Electrical Engineer,https://newyork.craigslist.org/jsy/egr/d/electrical-engineer/6408166771.html
2017-12-01 11:13,Mechanical Engineer,https://newyork.craigslist.org/mnh/egr/d/mechanical-engineer/6408160742.html
2017-12-01 09:57,Project Architect,https://newyork.craigslist.org/mnh/egr/d/project-architect/6408051343.html
2017-12-01 08:30,Construction Project Manager,https://newyork.craigslist.org/mnh/egr/d/construction-project-manager/6407958557.html
2017-11-30 18:17,ARCHITECTURE - DESIGN - PROJECT MANAGER,https://newyork.craigslist.org/mnh/egr/d/architecture-design-project/6407447211.html
2017-11-30 15:07,Project Architect | Commercial + Residential Buildings,https://newyork.craigslist.org/mnh/egr/d/project-architect-commercial/6407184941.html
2017-11-30 14:50,Freelance Architectural Drafter,https://newyork.craigslist.org/mnh/egr/d/freelance-architectural/6407159851.html
2017-11-30 13:40,Electrical Assistant Project Manager Opening (Graduate Opportunity),https://newyork.craigslist.org/brk/egr/d/electrical-assistant-project/6407049158.html
2017-11-30 13:22,Mechanical PM Opportunity - 5 Boroughs,https://newyork.craigslist.org/mnh/egr/d/mechanical-pm-opportunity-5/6407020910.html
2017-11-30 13:15,"Project Engineer/Project Manager-Industrial, Power, Waste",https://newyork.craigslist.org/lgi/egr/d/project-engineer-project/6407009351.html
2017-11-30 12:56,ARCHITECT/DRAFTER,https://newyork.craigslist.org/brk/egr/d/architect-drafter/6406977880.html
2017-11-29 20:54,Autocad person wanted for immediate hire!!!,https://newyork.craigslist.org/que/egr/d/autocad-person-wanted-for/6406252052.html
2017-11-29 17:52,Administrative Assistant for Design Firm,https://newyork.craigslist.org/mnh/egr/d/administrative-assistant-for/6406049077.html
2017-11-29 17:41,Architect,https://newyork.craigslist.org/mnh/egr/d/architect/6406034206.html
2017-11-29 14:21,MEP/Senior & Mid-Level Resource Managers,https://newyork.craigslist.org/mnh/egr/d/mep-senior-mid-level-resource/6405739872.html
2017-11-29 13:57,MEP Engineers with REVIT- All Levels,https://newyork.craigslist.org/mnh/egr/d/mep-engineers-with-revit-all/6405702059.html
2017-11-29 13:43,Experienced Architectural Metal Programmer,https://newyork.craigslist.org/brk/egr/d/experienced-architectural/6405679944.html
2017-11-29 13:19,Architectural Metal Cost Estimator,https://newyork.craigslist.org/brk/egr/d/architectural-metal-cost/6405639336.html
2017-11-29 13:16,MECHANICAL ENGINEER - Luxury Design/Mfg Co:  Full Time Project Work,https://newyork.craigslist.org/mnh/egr/d/mechanical-engineer-luxury/6405634239.html
2017-11-29 13:14,"FAST, Experienced DRAFTSMAN needed by high-end interior design firm",https://newyork.craigslist.org/mnh/egr/d/fast-experienced-draftsman/6405632081.html
2017-11-29 12:43,Freelance Draftsman / Architectural Technician,https://newyork.craigslist.org/fct/egr/d/freelance-draftsman/6405580472.html
2017-11-29 12:25,Assistant Electrical Project Manager,https://newyork.craigslist.org/que/egr/d/assistant-electrical-project/6405550127.html
2017-11-29 12:13,Auto Cad Drafter Part Time,https://newyork.craigslist.org/fct/egr/d/auto-cad-drafter-part-time/6405530436.html
2017-11-29 11:41,Energy Efficiency Engineer & RCx Agent - CEM needed,https://newyork.craigslist.org/mnh/egr/d/energy-efficiency-engineer/6405478049.html
2017-11-29 09:45,Top Architect Available,https://newyork.craigslist.org/mnh/egr/d/top-architect-available/6405307422.html
2017-11-28 18:55,EIT - Engineer In Training,https://newyork.craigslist.org/brk/egr/d/eit-engineer-in-training/6404746769.html
2017-11-28 16:15,MEP- Sr. & Mid-Level Project Managers/Project Engineers,https://newyork.craigslist.org/mnh/egr/d/mep-sr-mid-level-project/6404526522.html
2017-11-28 15:59,Junior-Intermediate Architect,https://newyork.craigslist.org/wch/egr/d/junior-intermediate-architect/6404502023.html
2017-11-28 15:41,Draftsman,https://newyork.craigslist.org/que/egr/d/draftsman/6404474344.html
2017-11-28 12:45,Draftsperson / Cabinet Vision Programmer,https://newyork.craigslist.org/que/egr/d/draftsperson-cabinet-vision/6404179534.html
2017-11-28 12:00,Assistant Project Manager,https://newyork.craigslist.org/brk/egr/d/assistant-project-manager/6404101329.html
2017-11-28 11:05,Entry Level Architect small busy office.,https://newyork.craigslist.org/mnh/egr/d/entry-level-architect-small/6404010158.html
2017-11-28 10:47,Project Architect,https://newyork.craigslist.org/que/egr/d/project-architect/6403980968.html
2017-11-27 23:05,Facade Restoration - Engineer/Architect,https://newyork.craigslist.org/mnh/egr/d/facade-restoration-engineer/6403570258.html
2017-11-27 22:38,CONSTRUCTION SUPERVISOR/PROJECT MANAGER,https://newyork.craigslist.org/brk/egr/d/construction-supervisor/6403548899.html
2017-11-27 21:47,Professional wanted,https://newyork.craigslist.org/brk/egr/d/professional-wanted/6403504758.html
2017-11-27 20:33,Architectural Drafter,https://newyork.craigslist.org/que/egr/d/architectural-drafter/6403429847.html
2017-11-27 19:52,Structural Engineer,https://newyork.craigslist.org/que/egr/d/structural-engineer/6403384927.html
2017-11-27 19:51,Architectural Designer,https://newyork.craigslist.org/que/egr/d/architectural-designer/6403383598.html
2017-11-27 15:47,Professional Land Surveyor (PLS - CT),https://newyork.craigslist.org/fct/egr/d/professional-land-surveyor/6403052961.html
2017-11-27 14:38,Project Architect (High-end Retail & Hospitality),https://newyork.craigslist.org/mnh/egr/d/project-architect-high-end/6402940343.html
2017-11-27 13:38,Procurement Project Manager with Design/Architecture background needed,https://newyork.craigslist.org/mnh/egr/d/procurement-project-manager/6402837617.html
2017-11-27 12:45,Junior Draftsperson,https://newyork.craigslist.org/mnh/egr/d/junior-draftsperson/6402743163.html
2017-11-27 12:06,Project Architect,https://newyork.craigslist.org/mnh/egr/d/project-architect/6402672977.html
2017-11-27 12:03,Junior Architect/ Draftsperson,https://newyork.craigslist.org/mnh/egr/d/junior-architect-draftsperson/6402667736.html
2017-11-27 11:53,Project Architect,https://newyork.craigslist.org/mnh/egr/d/project-architect/6402649914.html
2017-11-27 11:40,POLARIZED LIGHT MICROSCOPY (PLM) ASBESTOS LAB TECHNICIAN,https://newyork.craigslist.org/que/egr/d/polarized-light-microscopy/6402625039.html
2017-11-27 11:20,AutoCAD PM/Drafting Positions for Site Safety Plans,https://newyork.craigslist.org/mnh/egr/d/autocad-pm-drafting-positions/6402589776.html
2017-11-27 10:54,Structural Engineer,https://newyork.craigslist.org/brk/egr/d/structural-engineer/6402547128.html
2017-11-27 10:36,Associate Project Manager,https://newyork.craigslist.org/mnh/egr/d/associate-project-manager/6402517884.html
2017-11-27 10:29,Lead Designer,https://newyork.craigslist.org/mnh/egr/d/lead-designer/6402506981.html
2017-11-27 09:20,Mechanical Engineer Wanted,https://newyork.craigslist.org/que/egr/d/mechanical-engineer-wanted/6402411279.html
2017-11-26 17:01,New York City Building Permit Expeditor Supervisor,https://newyork.craigslist.org/brk/egr/d/new-york-city-building-permit/6401758068.html
2017-11-26 15:32,NEED TO LEGALIZE BASEMENT BACK HOUSE /,https://newyork.craigslist.org/brk/egr/d/need-to-legalize-basement/6401641018.html
2017-11-25 23:50,Estimator / Project Manager,https://newyork.craigslist.org/brk/egr/d/estimator-project-manager/6400930083.html
2017-11-25 22:45,Drafting help needed,https://newyork.craigslist.org/mnh/egr/d/drafting-help-needed/6400889463.html
2017-11-24 18:11,Project Manager (Construction),https://newyork.craigslist.org/mnh/egr/d/project-manager-construction/6399384203.html
2017-11-24 17:14,Junior Revit Architect,https://newyork.craigslist.org/mnh/egr/d/junior-revit-architect/6399318179.html
2017-11-24 15:56,"Architect, Intermediate",https://newyork.craigslist.org/mnh/egr/d/architect-intermediate/6399220698.html
